開課序號,開課代碼,系所,組,年,班,全英語,MOOCS,限性別,中文課程名稱,英文課程名稱,學分,必/選,全/半,教師,地點時間,限修人數,選修人數,限修條件,備註,學期
3730,AAM1781,校際臺大（碩）,A,,,是,,,心理表徵理論：從康德到當代,Theories of Mental Representation from Kant to Our Time,3.0,選,半,文  哲,四 A-C 哲研討室二,2,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 哲學研究所 ; 研究所：E領域。  大學部：(C)哲學專題群組。 ; 限修學制：碩,1112
3738,AAM1782,校際臺大（碩）,A,,,,,,文化景觀研究,Cultural Landscape Studies,3.0,選,半,彭立沛,四 2-4 生傳527室,1,1,◎課程不開放上修 ◎加退選全授權碼選課 ◎初選不開放,生物資源暨農學院 ; 生物產業傳播暨發展學研究所 ; 初選不開放． ; 限修學制：碩,1112
3758,AAM1783,校際臺大（碩）,A,,,是,,,比較健康體系：社會與政治觀點,Comparative Health Systems: A Sociopolitical Perspective,2.0,選,半,葉明叡,四 3-4 公衛208,1,1,◎課程不開放上修,公共衛生學院 ; 健康政策與管理研究所 ;   限修學制：碩、博,1112
3764,AAM1784,校際臺大（碩）,A,,,,,,主體性理論選讀,Selected Readings In Subjectivity,3.0,選,半,鄭芳婷,一 6-8 請洽系所辦,1,1,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 臺灣文學研究所 ; 上課地點為臺文所會議室。 ; 限修學制：碩、博,1112
3789,AAM1785,校際臺大（碩）,A,,,,,,平等、歧視與法律專題,"Seminar on Equality, Discrimination and Law",2.0,選,半,范秀羽,二 7-8 國發210,2,0,◎課程開放上修 ◎加退選全授權碼選課,社會科學院 ; 國家發展研究所 ;   限修學制：大三以上、碩、博,1112
3808,AAM1786,校際臺大（碩）,A,,,,,,生物材料學,Biomaterials,3.0,選,半,鄭宗記,五 2-4 知207,5,0,◎課程不開放上修,生物資源暨農學院 ; 生物機電工程學研究所 ; 研究所核心課程(生物程序) ; 限修學制：碩,1112
3838,AAM1787,校際臺大（碩）,A,,,,,,全球地震學特論,Special Topics in Global Seismology,2.0,選,半,柯彥廷,一 3-4 海研110教室,1,0,◎課程不開放上修,理學院 ; 海洋研究所 ;   限修學制：碩,1112
3850,AAM1788,校際臺大（碩）,A,,,,,,印度中觀哲學,Madhyamaka Philosophy in India,3.0,選,半,李勝海,二 7-9 哲研討室一,2,0,◎課程不開放上修 ◎加退選全授權碼選課,文學院 ; 哲學研究所 ; 研究所：佛家領域。  大學部：(A)東方哲學史群組。 ; 限修學制：碩,1112
3855,AAM1789,校際臺大（碩）,A,,,,,,地球系統模式實作,Workshop of Earth System Model,2.0,選,半,陳維婷,三 6-7 大氣B105,2,0,◎課程開放上修 ◎加退選全授權碼選課,理學院 ; 大氣科學研究所 ; 需具備使用Fortran程式與UNIX環境的能力 ; 限修學制：大三以上、碩、博,1112
3899,AAM1790,校際臺大（碩）,A,,,是,,,冷戰時期的東亞國際關係專題,Seminar on the International Relations of the Cold War in East Asia,2.0,選,半,關兆彰,二 6-7 社科研609,2,0,◎課程不開放上修,社會科學院 ; 政治學研究所 ; 國際關係。 ; 限修學制：碩、博,1112
